geom,sol,site,pos,Ls,SCLK_START,SCLK_END,lat_dd,lon_dd,easting_m,northing_m,elev_m,straightli,straight_1,traverse_d,total_dist,dist_bradb,azimuth_br,pitch_rad,roll_rad,tilt_rad,yaw_rad,pitch_deg,roll_deg,tilt_deg,yaw_deg,mobtrav_id,mobtrav_to,drive_type,site_pos,5_drive_av,sol_site_p,ORIG_FID
01010000A0E610000078DD2E74E12B6140247466174BAC12C01B1000A00D61B1C0,984,48,0,341.7,484849332.2,484852252.8,-4.66825519,137.3712712,8142640.55,-276709.415,-4449.053223,6.544,219.405,6.544,10421,6261.372539,0,0.28383,-0.23523,0.3666,-2.83091,16.2622611,-13.47768621,21.00463277,-162.1991952,18.033702,10644.89675,final,48_0,24.797922,984_48_0,-1
01010000A0E61000000044735FE12B6140B1D8BA3126AC12C0A2FAFF1FB961B1C0,986,48,82,342.8,485025070.1,485026751.5,-4.66811444,137.3712613,8142639.964,-276701.072,-4449.723145,8.363,355.996,15.898,10437,6255.542981,0,-0.04544,-0.27405,0.2777,2.76129,-2.603520221,-15.70190838,15.91103797,158.210263,8.866339,10653.76309,final,48_82,25.28538183,986_48_82,-1
01010000A0E61000006DE487D2E02B614025E3780593AB12C043F5FF3FEB66B1C0,987,48,458,343.3,485112438.2,485118657.3,-4.66755303,137.3711941,8142635.981,-276667.794,-4454.918945,33.514,353.197,41.964,10480,6233.449969,0,0.02913,-0.11347,0.11713,2.09323,1.669026057,-6.501352101,6.711054654,119.9332446,42.853627,10696.61672,final,48_458,20.05199117,987_48_458,-1
01010000A0E610000049939CAED92B6140D60DBC9396AB12C0000000008F65B1C0,990,48,876,344.9,485380060.4,485386513.5,-4.6675666,137.3703225,8142584.316,-276668.598,-4453.558594,51.5,269.105,51.788,10533,6268.766934,0,0.23844,0.13634,0.27402,-2.52786,13.66160567,7.811706579,15.7001895,-144.8357092,52.516391,10749.13311,final,48_876,28.48204567,990_48_876,-1
01010000A0E61000008A2CC207D92B61407162F953E7AB12C0BD0A00C0F05FB1C0,991,48,1146,345.4,485467515.1,485471474.2,-4.66787463,137.370243,8142579.6,-276686.857,-4447.94043,18.853,194.436,22.145,10556,6285.436863,0,0.26519,0.03937,0.26803,-2.71355,15.19426777,2.255734839,15.35698778,-155.4749625,24.449081,10773.58219,final,48_1146,27.91277267,991_48_1146,-1
01010000A0E6100000E1AA9B7CD82B6140AFBD1035FBAB12C043F5FF3FFA5EB1C0,992,48,1194,346,485559196.1,485560218.7,-4.66795047,137.3701766,8142575.667,-276691.352,-4446.977539,5.965,221.094,5.974,10562,6291.408428,0,0.07122,0.09652,0.11988,-2.51148,4.080605417,5.530188639,6.868618048,-143.8972043,6.21345,10779.79564,final,48_1194,25.488765,992_48_1194,-1
01010000A0E6100000151BF72BD72B61402BD816BE49AC12C0BD0A00C01A5FB1C0,995,48,1530,347.5,485823081.3,485827108.6,-4.66825006,137.3700161,8142566.152,-276709.11,-4447.104492,20.131,208.101,33.491,10596,6310.946992,0,0.14054,-0.09299,0.16835,3.06512,8.052348853,-5.327934537,9.645744481,175.6184397,33.714474,10813.51011,final,48_1530,28.102227,995_48_1530,-1
01010000A0E6100000A770CF34D72B614070630A0D55AC12C0E5EFFF5FBD5EB1C0,997,48,1570,348.6,486002348.2,486003136.8,-4.6682932,137.3700203,8142566.402,-276711.667,-4446.739746,2.569,174.444,2.569,10599,6312.671191,0,0.10216,-0.16825,0.19658,2.45256,5.853336835,-9.640014903,11.26320434,140.521337,2.738712,10816.24882,final,48_1570,27.08095583,997_48_1570,-1
01010000A0E61000006C69483FD72B61406CF166A550AC12C0E5EFFF5FF05EB1C0,1030,48,1600,5.1,488934337.9,488934865.2,-4.66827639,137.3700253,8142566.698,-276710.671,-4446.938965,1.039,16.516,4.44,10603,6311.734967,0,0.09881,-0.16343,0.19075,2.28408,5.661395974,-9.363849246,10.92916994,130.8681441,4.493273,10820.7421,final,48_1600,20.6875635,1030_48_1600,-1
01010000A0E61000009D514E5CD82B61403D863C16FDAB12C07A150080095FB1C0,1035,48,1906,8.1,489369539.9,489376669.3,0,137.3701612,8142574.754,-276691.777,-4447.037109,20.529,23.024,35.905,0,6292.337357,0,0.04327,-0.0609,0.07469,0.99252,2.47918838,-3.489312972,4.279421772,56.86720708,35.106382,10855.84848,final,48_1906,17.78589533,1035_48_1906,-1
