target_plan,Sequence,inst_type,notes
Heimdall,ccam02401,CCAM, 
McKinnon,ccam03401,CCAM, 
Shackleton,ccam04401,CCAM, 
Ritchie_ccam,ccam05401,CCAM, 
Sky,ccam01404,CCAM, 
Dune_Fields,ccam02404,CCAM, 
CC_BT_0406a,ccam15030,CCAM, 
Tingey,ccam01407,CCAM, 
Horlick,ccam02407,CCAM, 
Mount Sharp,ccam08407,CCAM, 
Sky,ccam01414,CCAM, 
Peleus_RMI,ccam02414,CCAM, 
Peleus,ccam03414,CCAM, 
CCAM_CCCT_Pass_Triad,ccam01418,CCAM, 
MCAM_CT_White_Raster,ccam02418,CCAM, 
MCAM_CT_Triad,ccam03418,CCAM, 
Helderberg,ccam01421,CCAM, 
Port_Ewen,ccam02421,CCAM, 
Alsen,ccam03421,CCAM, 
Becraft,ccam04421,CCAM, 
Dunn_Hill_2,ccam05421,CCAM, 
Otsego,ccam01424,CCAM, 
Seneca,ccam02424,CCAM, 
CC_BT_0424a,ccam15025,CCAM, 
Cal Target 4,ccam01425,CCAM, 
Sky,ccam02425,CCAM, 
Solsville,ccam01426,CCAM, 
Manlius,ccam02426,CCAM, 
Sky,ccam04426,CCAM, 
Sky,ccam05426,CCAM, 
CC_BT_0427a,ccam15025,CCAM, 
Cal Target 9,ccam01427,CCAM, 
Cal Target 8,ccam01427,CCAM, 
Cal Target 7,ccam01427,CCAM, 
Cal Target 4,ccam01427,CCAM, 
Cal Target 3,ccam01427,CCAM, 
Cal Target 2,ccam01427,CCAM, 
Hamilton,ccam01428,CCAM, 
Mount_Marion,ccam02428,CCAM, 
CC_BT_0430a,ccam15029,CCAM, 
Cal Target 4,ccam01432,CCAM, 
Mount Sharp,ccam02432,CCAM, 
N43111,ccam03432,CCAM, 
Cal Target 10,ccam04432,CCAM, 
CC_BT_0432a,ccam15025,CCAM, 
MCAM_CT_White_Green,ccam01433,CCAM, 
Cal Target 11,ccam02433,CCAM, 
Sky,ccam01434,CCAM, 
CC_BT_0434a,ccam15026,CCAM, 
West_Falls,ccam02434,CCAM, 
Cherry_Valley,ccam01435,CCAM, 
Laurens,ccam02435,CCAM, 
Millport,ccam04435,CCAM, 
Gilboa,ccam03435,CCAM, 
Union_Springs,ccam01438,CCAM, 
Ithaca,ccam01439,CCAM, 
Sky,ccam03439,CCAM, 
Sky,ccam04439,CCAM, 
Delaware_River,ccam01440,CCAM, 
Cobleskill,ccam02440,CCAM, 
Pine_Plains_ccam,ccam01441,CCAM, 
Rensselaer_CCAM,ccam02441,CCAM, 
Deep_Kill_CCAM,ccam03441,CCAM, 
Palisades,ccam01453,CCAM, 
CC_BT_0453a,ccam15029,CCAM, 
Tully,ccam01465,CCAM, 
Greylock,ccam02465,CCAM, 
CC_BT_0466a,ccam15025,CCAM, 
Hematite_Ridge_1,ccam02466,CCAM, 
Hematite_Ridge_2,ccam03466,CCAM, 
CCAM_CCCT_Pass_Triad,ccam04466,CCAM, 
MCAM_CT_White_Raster,ccam05466,CCAM, 
MCAM_CT_Triad,ccam06466,CCAM, 
Sky,ccam07466,CCAM, 
Rock_Stream,ccam01469,CCAM, 
Skunnemunk,ccam02469,CCAM, 
CC_BT_0471a,ccam15025,CCAM, 
Cal Target 9,ccam03469,CCAM, 
Cal Target 8,ccam03469,CCAM, 
Cal Target 7,ccam03469,CCAM, 
Cal Target 4,ccam03469,CCAM, 
Cal Target 3,ccam03469,CCAM, 
Cal Target 2,ccam03469,CCAM, 
Sky,ccam01473,CCAM, 
CC_BT_0473a,ccam15025,CCAM, 
New_Scotland,ccam01474,CCAM, 
Kalkberg,ccam02474,CCAM, 
Hematite_Ridge_3,ccam01475,CCAM, 
Hematite_Ridge_4,ccam02475,CCAM, 
Cal Target 11,ccam03475,CCAM, 
CC_BT_0475a,ccam15025,CCAM, 
Cal Target 10,ccam05475,CCAM, 
Cal Target 9,ccam05475,CCAM, 
Cal Target 8,ccam05475,CCAM, 
Cal Target 7,ccam05475,CCAM, 
Cal Target 6,ccam05475,CCAM, 
Cal Target 4,ccam05475,CCAM, 
Cal Target 3,ccam05475,CCAM, 
Cal Target 2,ccam05475,CCAM, 
Sky,ccam01478,CCAM, 
Poughquag,ccam02478,CCAM, 
Cortlandt,ccam03478,CCAM, 
Stockbridge,ccam04478,CCAM, 
Cal Target 10,ccam01486,CCAM, 
Cortlandt,ccam02486,CCAM, 
Cortlandt,ccam03486,CCAM, 
Stockbridge,ccam05486,CCAM, 
Dump_Pile,ccam01488,CCAM, 
Dump_Pile,ccam02488,CCAM, 
Stockbridge,ccam03488,CCAM, 
Bedford,ccam01489,CCAM, 
Cortlandt,ccam02489,CCAM, 
pt01,ccam03489,CCAM, 
pt07,ccam04489,CCAM, 
Sky,ccam05489,CCAM, 
Cal Target 11,ccam06489,CCAM, 
CC_BT_0491a,ccam15025,CCAM, 
Hematite_Ridge_5,ccam01492,CCAM, 
Hematite_Ridge_6,ccam02492,CCAM, 
Bedford_2,ccam03492,CCAM, 
Sky,ccam04492,CCAM, 
Sky,ccam06492,CCAM, 
Staten_Island,ccam07492,CCAM, 
Nassau,ccam08492,CCAM, 
Rochester,ccam09492,CCAM, 
CC_MR_wheel_0493a,ccam10492,CCAM, 
Ulster,ccam01502,CCAM, 
Onandaga,ccam02502,CCAM, 
Morehouse,ccam03502,CCAM, 
CC_MR_wheel_0502a,ccam04502,CCAM, 
Nedrow,ccam05502,CCAM, 
Schoharie,ccam01503,CCAM, 
Ashokan,ccam02503,CCAM, 
Sky,ccam03503,CCAM, 
CC_BT_0505a,ccam15025,CCAM, 
RMI_1,ccam04503,CCAM, 
LM1,ccam05503,CCAM, 
MCAM_CT_White_Raster,ccam01507,CCAM, 
MCAM_CT_Triad,ccam02507,CCAM, 
CCAM_CCCT_Pass_Triad,ccam03507,CCAM, 
Dunes,ccam04507,CCAM, 
CC_BT_0507a,ccam15025,CCAM, 
Sky_Flat_1000mm,ccam06507,CCAM, 
Sky_Flat_2000mm,ccam07507,CCAM, 
Dune_Fields,ccam01509,CCAM, 
Dune_506,ccam01509,CCAM, 
Balmville,ccam02509,CCAM, 
Sky,ccam03509,CCAM, 
CC_BT_0509a,ccam15028,CCAM, 
Kodak,ccam01512,CCAM, 
Clinton,ccam02512,CCAM, 
Sparkle,ccam01514,CCAM, 
Harrison,ccam02514,CCAM, 
Oscar,ccam01516,CCAM, 
Sky,ccam02516,CCAM, 
Dunes_Sol516,ccam03516,CCAM, 
Black_Rock,ccam04516,CCAM, 
Doran,ccam01520,CCAM, 
Togo,ccam02520,CCAM, 
Dougalls,ccam01522,CCAM, 
Dougalls,ccam01523,CCAM, 
King_CCAM,ccam02523,CCAM, 
Airfield,ccam03523,CCAM, 
Sky,ccam05523,CCAM, 
Swift,ccam01527,CCAM, 
CC_BT_0527a,ccam15028,CCAM, 
Dingo_Gap_Dune_RMI,ccam01528,CCAM, 
Anderson,ccam01529,CCAM, 
Bastion,ccam02529,CCAM, 
Blackstone,ccam03529,CCAM, 
CC_BT_0529a,ccam15029,CCAM, 
Mell,ccam01530,CCAM, 
Little_Gold,ccam02530,CCAM, 
Tappers_CCAM,ccam03530,CCAM, 
N53556 (Cascade_Bay),ccam01537,CCAM, 
Cascade_Bay_Nighttime,ccam02537,CCAM, 
Sky,ccam01542,CCAM, 
Sky,ccam03542,CCAM, 
Cal Target 10,ccam04542,CCAM, 
Cal Target 9,ccam04542,CCAM, 
Cal Target 8,ccam04542,CCAM, 
Cal Target 7,ccam04542,CCAM, 
Cal Target 6,ccam04542,CCAM, 
Cal Target 4,ccam04542,CCAM, 
Cal Target 3,ccam04542,CCAM, 
Cal Target 2,ccam04542,CCAM, 
Cal Target 1,ccam04542,CCAM, 
CC_BT_0543a,ccam15026,CCAM, 
Nita,ccam01544,CCAM, 
Bindi,ccam02544,CCAM, 
Sandy Dam,ccam03544,CCAM, 
Sandy_Dam_night,ccam04544,CCAM, 
Sandy_Dam_Night,ccam06544,CCAM, 
JumJum_CCAM,ccam01550,CCAM, 
Dunefield_Sol550,ccam03550,CCAM, 
Angelo,ccam01553,CCAM, 
Corkwood,ccam01554,CCAM, 
Johnny_Cake,ccam01557,CCAM, 
Mount_Amy,ccam02557,CCAM, 
Dunefield_Sol562,ccam01562,CCAM, 
Sky,ccam01563,CCAM, 
Turret_Sieve,ccam01564,CCAM, 
Pillara,ccam01567,CCAM, 
Ranford,ccam02567,CCAM, 
Yampi,ccam03567,CCAM, 
MCAM_CT_Triad,ccam04567,CCAM, 
Sky,ccam01571,CCAM, 
CCAM_CCCT_Pass_Triad,ccam02571,CCAM, 
King_Leopold,ccam01574,CCAM, 
Lennard,ccam02574,CCAM, 
Cal Target 10,ccam01575,CCAM, 
Cal Target 9,ccam01575,CCAM, 
Cal Target 8,ccam01575,CCAM, 
Cal Target 7,ccam01575,CCAM, 
Cal Target 6,ccam01575,CCAM, 
Cal Target 5,ccam01575,CCAM, 
Cal Target 4,ccam01575,CCAM, 
Cal Target 3,ccam01575,CCAM, 
Cal Target 2,ccam01575,CCAM, 
Cal Target 1,ccam01575,CCAM, 
MCAM_CT_White_Raster,ccam02575,CCAM, 
MCAM_CT_Triad,ccam03575,CCAM, 
Square_Top,ccam01576,CCAM, 
Turret_Sieve,ccam01578,CCAM, 
Yulleroo,ccam03578,CCAM, 
Square_Top_2,ccam04578,CCAM, 
Petaluma,ccam05578,CCAM, 
Sky,ccam06578,CCAM, 
Egan,ccam01581,CCAM, 
Elgee,ccam02581,CCAM, 
Erskine,ccam03581,CCAM, 
Elvire,ccam04581,CCAM, 
Sky,ccam01582,CCAM, 
Sky,ccam02582,CCAM, 
Cal Target 1,ccam03582,CCAM, 
dune_mosaic_sol_582,ccam04582,CCAM, 
dune_mosaic_sol_582,ccam05582,CCAM, 
dune_mosaic_sol_582,ccam06582,CCAM, 
CC_BT_0582a,ccam15024,CCAM, 
Hooper,ccam01583,CCAM, 
Mabel_Downs,ccam01584,CCAM, 
Frome_Rocks,ccam02584,CCAM, 
Roebuck,ccam03584,CCAM, 
Top_Square_Top,ccam01585,CCAM, 
Eastman,ccam02585,CCAM, 
Esaw,ccam03585,CCAM, 
CC_BT_0588a,ccam15029,CCAM, 
Chirup,ccam01589,CCAM, 
Sky,ccam01590,CCAM, 
Cone_Hill,ccam02590,CCAM, 
Shepherds_Bore,ccam01591,CCAM, 
Butchers_Gulley_hor,ccam02591,CCAM, 
Butchers_Gulley_ver,ccam03591,CCAM, 
Cal Target 10,ccam04591,CCAM, 
Cal Target 9,ccam04591,CCAM, 
Cal Target 8,ccam04591,CCAM, 
Cal Target 7,ccam04591,CCAM, 
Cal Target 6,ccam04591,CCAM, 
Cal Target 5,ccam04591,CCAM, 
Cal Target 4,ccam04591,CCAM, 
Cal Target 3,ccam04591,CCAM, 
Cal Target 2,ccam04591,CCAM, 
Cal Target 1,ccam04591,CCAM, 
McHale,ccam01594,CCAM, 
McSherrys,ccam02594,CCAM, 
Matheson,ccam03594,CCAM, 
Maude_Headley,ccam04594,CCAM, 
Maddox,ccam05594,CCAM, 
Sky,ccam01597,CCAM, 
Liga,ccam01601,CCAM, 
Harms,ccam02601,CCAM, 
Nullara,ccam03601,CCAM, 
Glidden,ccam04601,CCAM, 
Forman,ccam01602,CCAM, 
Sky,ccam01604,CCAM, 
CC_BT_0604a,ccam15026,CCAM, 
MCAM_CT_White_Raster,ccam02604,CCAM, 
MCAM_CT_Triad,ccam03604,CCAM, 
Babrongan,ccam01605,CCAM, 
Lagrange,ccam02605,CCAM, 
CC_BT_0607a,ccam15026,CCAM, 
CCAM_CCCT_Pass_Triad,ccam03605,CCAM, 
Corrara,ccam01608,CCAM, 
Forster,ccam02608,CCAM, 
Fargoo,ccam03608,CCAM, 
Wallal,ccam04608,CCAM, 
Paperbark,ccam05608,CCAM, 
Pentecost,ccam06608,CCAM, 
Jarrad,ccam01609,CCAM, 
Cow_Bore,ccam02609,CCAM, 
Sky,ccam01610,CCAM, 
Sky,ccam02610,CCAM, 
Detector_Background,ccam04610,CCAM, 
Stephen,ccam01611,CCAM, 
Kevins_Dam,ccam02611,CCAM, 
Thangoo,ccam03611,CCAM, 
Blina,ccam04611,CCAM, 
Blinker_Hill,ccam05611,CCAM, 
Stephen,ccam06611,CCAM, 
RMI_Sky_Flats,ccam01612,CCAM, 
Windjana,ccam03612,CCAM, 
Windjana_Mini_Drill_Tailings,ccam01615,CCAM, 
Mahoney,ccam02615,CCAM, 
Sky,ccam01617,CCAM, 
RMI_Sky_Flats,ccam02617,CCAM, 
Beagle,ccam01618,CCAM, 
Hawk,ccam02618,CCAM, 
RMI_Sky_Flats,ccam04618,CCAM, 
Windjana_Mini_Drill_Vertical,ccam01619,CCAM, 
Windjana_Mini_Drill_Horizontal,ccam02619,CCAM, 
Stephen_DP,ccam03619,CCAM, 
Neil,ccam04619,CCAM, 
RMI_Sky_Flats,ccam06619,CCAM, 
Windjana_drill_tailings,ccam01622,CCAM, 
Windjana_drill_Hole_RMI,ccam02622,CCAM, 
Mondooma,ccam01625,CCAM, 
Windjana_drill_tailings2,ccam02625,CCAM, 
Windjana_drill_Hole_RMI,ccam03625,CCAM, 
Loadstone,ccam04625,CCAM, 
San_Sou,ccam05625,CCAM, 
RMI_Sky_Flats,ccam06625,CCAM, 
Sky,ccam01628,CCAM, 
Tumagee,ccam02628,CCAM, 
Yarrada,ccam03628,CCAM, 
Dillinger,ccam04628,CCAM, 
Mahoney_2,ccam05628,CCAM, 
Stephen_DP_2,ccam01630,CCAM, 
Moogana,ccam01632,CCAM, 
Kalumburo,ccam02632,CCAM, 
Sky,ccam01635,CCAM, 
Lamboo,ccam01636,CCAM, 
CC_BT_0636a,ccam15029,CCAM, 
Lebanon,ccam01637,CCAM, 
Littleton,ccam02637,CCAM, 
CC_BT_0637a,ccam15029,CCAM, 
MCAM_CT_White_Raster,ccam01638,CCAM, 
MCAM_CT_White_Green,ccam02638,CCAM, 
MCAM_CT_Triad,ccam03638,CCAM, 
Cal Target 10,ccam04638,CCAM, 
Cal Target 9,ccam04638,CCAM, 
Cal Target 8,ccam04638,CCAM, 
Cal Target 7,ccam04638,CCAM, 
Cal Target 6,ccam04638,CCAM, 
Cal Target 4,ccam04638,CCAM, 
Cal Target 3,ccam04638,CCAM, 
Cal Target 2,ccam04638,CCAM, 
Cal Target 1,ccam04638,CCAM, 
CCAM_Passive_Sky_Standard,ccam06638,CCAM, 
Dune_Field,ccam07638,CCAM, 
Dune_Field,ccam01640,CCAM, 
Littleton_640,ccam02640,CCAM, 
Distant_Crater,ccam03640,CCAM, 
CC_BT_0642a,ccam15029,CCAM, 
Piermont,ccam01643,CCAM, 
Sky,ccam01645,CCAM, 
CC_BT_0645a,ccam15025,CCAM, 
Cal Target 10,ccam02645,CCAM, 
Exeter,ccam01646,CCAM, 
Exeter_2,ccam02646,CCAM, 
CC_BT_0648a,ccam15026,CCAM, 
CCAM_CCCT_Pass_Triad,ccam03646,CCAM, 
Sky,ccam01652,CCAM, 
CC_BT_0652a,ccam15025,CCAM, 
Winnipesaukee,ccam01653,CCAM, 
Meetinghouse,ccam02653,CCAM, 
Meetinghouse_2,ccam03653,CCAM, 
Albee,ccam04653,CCAM, 
Podunk_2,ccam01655,CCAM, 
Mascoma,ccam01656,CCAM, 
Kittery,ccam02656,CCAM, 
Sky,ccam01657,CCAM, 
Monroe,ccam01658,CCAM, 
Elizabeth,ccam02658,CCAM, 
Dunes_657,ccam04658,CCAM, 
Dunes_658,ccam04658,CCAM, 
Dunes_659,ccam04658,CCAM, 
Dunes_660,ccam04658,CCAM, 
Dunes_661,ccam04658,CCAM, 
Dunes_662,ccam04658,CCAM, 
Dunes_663,ccam04658,CCAM, 
Dunes_664,ccam04658,CCAM, 
Dunes_665,ccam04658,CCAM, 
Dunes_666,ccam04658,CCAM, 
Dunes_667,ccam04658,CCAM, 
Dunes_668,ccam04658,CCAM, 
Dunes_669,ccam04658,CCAM, 
Dunes_670,ccam04658,CCAM, 
Dunes_671,ccam04658,CCAM, 
Dunes_672,ccam04658,CCAM, 
Dunes_673,ccam04658,CCAM, 
Dunes_674,ccam04658,CCAM, 
Dunes_675,ccam04658,CCAM, 
Dunes_676,ccam04658,CCAM, 
Beaver_Brook_2,ccam01659,CCAM, 
Beaver_Brook_1,ccam02659,CCAM, 
Mt_Tug,ccam03659,CCAM, 
Cal Target 10,ccam04659,CCAM, 
Cal Target 9,ccam04659,CCAM, 
Cal Target 8,ccam04659,CCAM, 
Cal Target 7,ccam04659,CCAM, 
Cal Target 6,ccam04659,CCAM, 
Cal Target 4,ccam04659,CCAM, 
Cal Target 3,ccam04659,CCAM, 
Cal Target 2,ccam04659,CCAM, 
Quechee_Gorge,ccam01662,CCAM, 
Eliot,ccam01663,CCAM, 
Kinsman,ccam02663,CCAM, 
Peace_Vallis_Channel_Start,ccam03663,CCAM, 
CC_BT_0663a,ccam15024,CCAM, 
CC_BT_0663b,ccam15028,CCAM, 
Berwick,ccam01664,CCAM, 
CC_BT_0664a,ccam15030,CCAM, 
Hardy_Hill,ccam01665,CCAM, 
Balch_Hill,ccam01666,CCAM, 
Storrs_Pond,ccam02666,CCAM, 
CC_BT_0668a,ccam15028,CCAM, 
Holts_Ledge,ccam01669,CCAM, 
Calef,ccam02669,CCAM, 
Bloods_Brook,ccam01670,CCAM, 
Sky,ccam01671,CCAM, 
Cal Target 10,ccam03671,CCAM, 
Mountain_Girl,ccam01672,CCAM, 
CC_BT_0672a,ccam15028,CCAM, 
Radcliff,ccam01676,CCAM, 
Worldbeater,ccam01677,CCAM, 
Sky,ccam01685,CCAM, 
CC_BT_0686a,ccam15030,CCAM, 
Nova_ccam,ccam01687,CCAM, 
CC_BT_0689a,ccam15028,CCAM, 
Reed,ccam01690,CCAM, 
Limekiln,ccam01691,CCAM, 
Pyramid_Hills,ccam01692,CCAM, 
Johnnie,ccam01694,CCAM, 
South_Park2,ccam02694,CCAM, 
CCAM_CCCT_Pass_Triad,ccam01700,CCAM, 
MCAM_CT_White_Raster,ccam02700,CCAM, 
MCAM_CT_Triad,ccam03700,CCAM, 
Sky,ccam05700,CCAM, 
Skidoo,ccam06700,CCAM, 
Chocolate_Sundae_Mountain,ccam07700,CCAM, 
Ely_Springs,ccam08700,CCAM, 
Cuzcatlan,ccam01703,CCAM, 
Andrews_Mountain,ccam02703,CCAM, 
Turret_Sieve,ccam01704,CCAM, 
Thimble,ccam03704,CCAM, 
Resting_Spring,ccam04704,CCAM, 
Poleta,ccam01705,CCAM, 
sol00704_Windjana_dump_pile,ccam02705,CCAM, 
Cline_A_RMI_Moasic_Start,ccam03705,CCAM, 
Cline_C_RMI_Moasic_Start,ccam04705,CCAM, 
Cline_B_RMI_Mosaic_Start,ccam05705,CCAM, 
CC_BT_0706a,ccam15025,CCAM, 
Cal Target 10,ccam01706,CCAM, 
Cal Target 9,ccam01706,CCAM, 
Cal Target 8,ccam01706,CCAM, 
Cal Target 7,ccam01706,CCAM, 
Cal Target 6,ccam01706,CCAM, 
Cal Target 4,ccam01706,CCAM, 
Cal Target 3,ccam01706,CCAM, 
Cal Target 2,ccam01706,CCAM, 
Saline_Valley,ccam01707,CCAM, 
Redlands,ccam02707,CCAM, 
Stirling_2,ccam03707,CCAM, 
CC_BT_0709a,ccam15029,CCAM, 
Desert_Range,ccam01710,CCAM, 
CC_BT_0710a,ccam15024,CCAM, 
Sky_Flat_1200mm,ccam02710,CCAM, 
Gold_Ace,ccam01711,CCAM, 
CC_BT_0711a,ccam15026,CCAM, 
Thorndike,ccam01713,CCAM, 
CC_BT_0714a,ccam15028,CCAM, 
Pogonip,ccam01717,CCAM, 
Greenwater,ccam02717,CCAM, 
CC_BT_0717a,ccam15029,CCAM, 
Sky,ccam01718,CCAM, 
MCAM_CT_White_Raster,ccam02718,CCAM, 
MCAM_CT_White_Green,ccam03718,CCAM, 
MCAM_CT_Triad,ccam04718,CCAM, 
Cal Target 10,ccam05718,CCAM, 
Cal Target 9,ccam05718,CCAM, 
Cal Target 8,ccam05718,CCAM, 
Cal Target 7,ccam05718,CCAM, 
Cal Target 6,ccam05718,CCAM, 
Cal Target 4,ccam05718,CCAM, 
Cal Target 3,ccam05718,CCAM, 
Cal Target 2,ccam05718,CCAM, 
Bonanza_King1,ccam01719,CCAM, 
Bonanza_King2,ccam02719,CCAM, 
Manly,ccam03719,CCAM, 
Campito,ccam04719,CCAM, 
Sky,ccam01720,CCAM, 
CCAM_CCCT_Pass_Triad,ccam02720,CCAM, 
CC_BT_0720a,ccam15026,CCAM, 
Goodwin_1,ccam04720,CCAM, 
Goodwin_2,ccam05720,CCAM, 
HalfPint_1,ccam07720,CCAM, 
HalfPint_2,ccam08720,CCAM, 
Bonanza_King1_ccam,ccam01721,CCAM, 
BonanzaKing2_CCAM,ccam01725,CCAM, 
Carrara,ccam02725,CCAM, 
Perdido,ccam03725,CCAM, 
Lee_Flat,ccam04725,CCAM, 
BonanzaKing2_CCAM,ccam01726,CCAM, 
Bird_Spring,ccam01727,CCAM, 
Crystal_Spring,ccam02727,CCAM, 
Dunderberg,ccam03727,CCAM, 
Campito_2,ccam04727,CCAM, 
Dunes_727_CCAM,ccam06727,CCAM, 
Spica,ccam07727,CCAM, 
Regulus,ccam09727,CCAM, 
Perdido,ccam01728,CCAM, 
BonanzaKing3,ccam02728,CCAM, 
Titus_Canyon,ccam03728,CCAM, 
Ninemile,ccam04728,CCAM, 
Deep_Spring,ccam05728,CCAM, 
Sky,ccam06728,CCAM, 
CC_BT_0730a,ccam15026,CCAM, 
Beck_Spring,ccam01731,CCAM, 
Eagle_Mountain,ccam02731,CCAM, 
Furnace_Creek,ccam03731,CCAM, 
Lippincott,ccam01732,CCAM, 
Hall_Canyon,ccam02732,CCAM, 
Keeler_Canyon,ccam03732,CCAM, 
Red_Pass,ccam01733,CCAM, 
Sky,ccam02733,CCAM, 
CC_BT_0734a,ccam15026,CCAM, 
Sky,ccam01735,CCAM, 
Tihvipah,ccam01738,CCAM, 
CC_BT_0738a,ccam15029,CCAM, 
Silver_King,ccam01739,CCAM, 
Warm_Spring,ccam02739,CCAM, 
N74050,ccam01740,CCAM, 
Timber_Mountain,ccam02740,CCAM, 
Hunter_Mountain,ccam03740,CCAM, 
Wood_Canyon,ccam04740,CCAM, 
Cal Target 10,ccam05740,CCAM, 
Cal Target 9,ccam05740,CCAM, 
Cal Target 8,ccam05740,CCAM, 
Cal Target 7,ccam05740,CCAM, 
Cal Target 6,ccam05740,CCAM, 
Cal Target 4,ccam05740,CCAM, 
Cal Target 3,ccam05740,CCAM, 
Cal Target 2,ccam05740,CCAM, 
Mesquite,ccam01741,CCAM, 
Badwater,ccam02741,CCAM, 
Mono,ccam03741,CCAM, 
Tucki,ccam04741,CCAM, 
Vega,ccam06741,CCAM, 
Vega,ccam07741,CCAM, 
Vega,ccam08741,CCAM, 
Vega,ccam09741,CCAM, 
Butte_Valley,ccam01744,CCAM, 
Antelope_Valley,ccam02744,CCAM, 
Sky,ccam01745,CCAM, 
CC_BT_0745a,ccam15025,CCAM, 
Anvil_Spring_Canyon,ccam01746,CCAM, 
Epaulet_Peak,ccam02746,CCAM, 
Copper_Queen,ccam03746,CCAM, 
CC_BT_0746a,ccam15028,CCAM, 
Upheaval_Dome,ccam01751,CCAM, 
Shinarump,ccam02751,CCAM, 
CC_BT_0752a,ccam15028,CCAM, 
Sky,ccam01753,CCAM, 
MCAM_CT_White_Raster,ccam02753,CCAM, 
MCAM_CT_White_Green,ccam03753,CCAM, 
MCAM_CT_Triad,ccam04753,CCAM, 
Mammoth,ccam01758,CCAM, 
Morrison,ccam02758,CCAM, 
Panum,ccam01762,CCAM, 
Stovepipe_Wells,ccam02762,CCAM, 
Sky,ccam01766,CCAM, 
Confidence_Hills_Full_Drill_Hole,ccam02766,CCAM, 
Comb_Ridge_ccam,ccam03766,CCAM, 
Straight_Cliffs,ccam04766,CCAM, 
Morrison,ccam05766,CCAM, 
Paoha,ccam01767,CCAM, 
The_Maze,ccam02767,CCAM, 
Quartz_Spring,ccam03767,CCAM, 
Pink_Cliffs,ccam01771,CCAM, 
White_Cliffs,ccam03771,CCAM, 
Crowley,ccam04771,CCAM, 
Fairyland_Point,ccam05771,CCAM, 
Mammoth,ccam01772,CCAM, 
Confidence_Hills_Dump_Pile,ccam01773,CCAM, 
White_Cliffs_2,ccam02773,CCAM, 
Cockscomb,ccam03773,CCAM, 
Maturango,ccam01775,CCAM, 
CCAM_CCCT_Pass_Triad,ccam02775,CCAM, 
Cal Target 10,ccam03775,CCAM, 
Cal Target 9,ccam03775,CCAM, 
Cal Target 8,ccam03775,CCAM, 
Cal Target 7,ccam03775,CCAM, 
Cal Target 6,ccam03775,CCAM, 
Cal Target 4,ccam03775,CCAM, 
Cal Target 3,ccam03775,CCAM, 
Cal Target 2,ccam03775,CCAM, 
Cal Target 1,ccam03775,CCAM, 
Bald_Mountain,ccam04775,CCAM, 
Gold_Valley,ccam05775,CCAM, 
Vega,ccam07775,CCAM, 
Vega,ccam08775,CCAM, 
Vega,ccam09775,CCAM, 
Vega,ccam10775,CCAM, 
Vega,ccam13775,CCAM, 
Vega,ccam11775,CCAM, 
Vega,ccam14775,CCAM, 
Vega,ccam12775,CCAM, 
Vega,ccam15775,CCAM, 
Gold_Valley,ccam01778,CCAM, 
Whirlwind_Valley,ccam02778,CCAM, 
Kings_Peak,ccam03778,CCAM, 
Red_Rock_Canyon,ccam04778,CCAM, 
Bald_Mountain2,ccam05778,CCAM, 
Sky,ccam01779,CCAM, 
Book_Cliffs,ccam02779,CCAM, 
Hanaupah,ccam03779,CCAM, 
Bald_Mountain_3,ccam04779,CCAM, 
Mount_Powell,ccam01780,CCAM, 
CC_BT_0780a,ccam15029,CCAM, 
Sky,ccam01781,CCAM, 
Delta,ccam02781,CCAM, 
San_Rafael_Swell,ccam03781,CCAM, 
Castle_Valley,ccam04781,CCAM, 
confidence_hills_postsieve_dump_cc,ccam01782,CCAM, 
confidence_hills_postsieve_dump_cc,ccam02782,CCAM, 
Siding_Spring_nucleus,ccam01783,CCAM, 
Siding_Spring_background,ccam02783,CCAM, 
Siding_Spring_coma,ccam03783,CCAM, 
Siding_Spring_nucleus,ccam04783,CCAM, 
Siding_Spring_background,ccam07783,CCAM, 
Siding_Spring_background,ccam11783,CCAM, 
Sky,ccam01785,CCAM, 
Ibex_Pass_785,ccam02785,CCAM, 
Hayden_Peak,ccam03785,CCAM, 
Saddle_Peak,ccam04785,CCAM, 
CC_BT_0786a,ccam15025,CCAM, 
MCAM_CT_Triad,ccam05785,CCAM, 
MCAM_CT_White_Raster,ccam06785,CCAM, 
Goblin_Valley,ccam01787,CCAM, 
Deadman_Pass,ccam02787,CCAM, 
Funeral_Peak,ccam03787,CCAM, 
Sky,ccam04787,CCAM, 
CC_BT_0788a,ccam15025,CCAM, 
Skyline,ccam01789,CCAM, 
Barstow,ccam02789,CCAM, 
San_Gabriel,ccam03789,CCAM, 
CC_BT_0791a,ccam15028,CCAM, 
Cajon,ccam01792,CCAM, 
Agate_Hill,ccam02792,CCAM, 
Aztec_2,ccam03792,CCAM, 
Crowder,ccam04792,CCAM, 
Sky,ccam06792,CCAM, 
Sky,ccam07792,CCAM, 
Cima,ccam01794,CCAM, 
Sespe,ccam02794,CCAM, 
Aguereberry_Point,ccam03794,CCAM, 
Soledad_Pass,ccam04794,CCAM, 
CC_BT_0795a,ccam15028,CCAM, 
Orocopia,ccam01796,CCAM, 
Wild_Horse_Mesa,ccam02796,CCAM, 
Baldwin,ccam03796,CCAM, 
Vasquez,ccam04796,CCAM, 
Cal Target 10,ccam05796,CCAM, 
Cal Target 9,ccam05796,CCAM, 
Cal Target 8,ccam05796,CCAM, 
Cal Target 7,ccam05796,CCAM, 
