target_plan,Sequence,inst_type,notes
Rocknest_3_Top1,ccam01089,CCAM, 
Portage,ccam02089,CCAM, 
Cal Target 10,ccam01090,CCAM, 
Cal Target 9,ccam01090,CCAM, 
Cal Target 4,ccam01090,CCAM, 
Cal Target 10,ccam03090,CCAM, 
Cal Target 9,ccam03090,CCAM, 
Cal Target 4,ccam03090,CCAM, 
Cal Target 10,ccam01091,CCAM, 
Coppermine,ccam01097,CCAM, 
Kenyon_HighAlbedo,ccam02097,CCAM, 
Pointing_test,ccam01100,CCAM, 
Cal Target 11,ccam02100,CCAM, 
Cal Target 9,ccam02100,CCAM, 
Acasta,ccam02104,CCAM, 
Amagok,ccam01111,CCAM, 
Asiak,ccam02111,CCAM, 
Duncan_Lake,ccam03111,CCAM, 
Cal Target 11,ccam01112,CCAM, 
Cal Target 9,ccam02112,CCAM, 
Cal Target 8,ccam02112,CCAM, 
Cal Target 7,ccam02112,CCAM, 
Cal Target 6,ccam02112,CCAM, 
Cal Target 4,ccam02112,CCAM, 
Cal Target 3,ccam02112,CCAM, 
Cal Target 2,ccam02112,CCAM, 
Cal Target 10,ccam03112,CCAM, 
Cal Target 10,ccam01113,CCAM, 
Bell_Island_1,ccam02113,CCAM, 
Patterson_Lake,ccam01114,CCAM, 
Jackson_Lake,ccam02114,CCAM, 
Ingraham,ccam01116,CCAM, 
Kiwi_Lake_safe,ccam02116,CCAM, 
Duncan_Lake_vertical_start,ccam03116,CCAM, 
McTavish,ccam01117,CCAM, 
Jackson_Lake_2,ccam02117,CCAM, 
Jackson_Lake_3,ccam03117,CCAM, 
Rifle,ccam01119,CCAM, 
Ingraham,ccam02119,CCAM, 
Cal_target_sharp_edge,ccam03119,CCAM, 
Cal Target 10,ccam04119,CCAM, 
Cal Target 10,ccam01120,CCAM, 
Stanbridge,ccam01121,CCAM, 
Port_Radium_1,ccam02121,CCAM, 
Port_Radium_2,ccam03121,CCAM, 
Kikerk,ccam01122,CCAM, 
Kanyuak,ccam01123,CCAM, 
Kapvik,ccam02123,CCAM, 
Keskarah,ccam01124,CCAM, 
Kahochella,ccam02124,CCAM, 
Discovery_Creek,ccam01125,CCAM, 
Crest,ccam02125,CCAM, 
Sheepbed,ccam01126,CCAM, 
Beachrock,ccam02126,CCAM, 
Cal Target 10,ccam03126,CCAM, 
Belcher,ccam01127,CCAM, 
Flaherty,ccam01129,CCAM, 
Richardson,ccam02129,CCAM, 
Cal_target_sharp_edge,ccam03129,CCAM, 
Flaherty_2,ccam01130,CCAM, 
Richardson_2,ccam02130,CCAM, 
Barn_2,ccam03130,CCAM, 
RMI_test_linearity,ccam01131,CCAM, 
Sky,ccam02131,CCAM, 
Gillespie_Lake_1,ccam01132,CCAM, 
Gillespie_Lake_2,ccam02132,CCAM, 
Rowatt,ccam01133,CCAM, 
Cal Target 10,ccam01134,CCAM, 
Cal Target 9,ccam02134,CCAM, 
Cal Target 8,ccam02134,CCAM, 
Cal Target 7,ccam02134,CCAM, 
Cal Target 6,ccam02134,CCAM, 
Cal Target 4,ccam02134,CCAM, 
Cal Target 3,ccam02134,CCAM, 
Cal Target 2,ccam02134,CCAM, 
Cal Target 10 Zstack,ccam03134,CCAM, 
Rapitan,ccam01135,CCAM, 
Rapitan,ccam02135,CCAM, 
Pachi,ccam03135,CCAM, 
Pachi,ccam04135,CCAM, 
Rackla,ccam05135,CCAM, 
Rackla,ccam06135,CCAM, 
Cal Target 11,ccam07135,CCAM, 
Snake_River,ccam01147,CCAM, 
Cal Target 10,ccam01148,CCAM, 
MCAM_CT_WhiteMagnet,ccam02148,CCAM, 
MCAM_CT_White_Green,ccam03148,CCAM, 
Cal Target 11,ccam04148,CCAM, 
Cal Target 10,ccam05148,CCAM, 
Bonnet_Plume,ccam01149,CCAM, 
Haig,ccam01150,CCAM, 
Hay_Creek,ccam02150,CCAM, 
