sclk,File_name,Target_plan,SiO2,SiO2_RMSEP,SiO2_shots_stdev,TiO2,TiO2_RMSEP,TiO2_shots_stdev,Al2O3,Al2O3_RMSEP,Al2O3_shots_stdev,FeOT,FeOT_RMSEP,FeOT_shots_stdev,MgO,MgO_RMSEP,MgO_shots_stdev,CaO,CaO_RMSEP,CaO_shots_stdev,Na2O,Na2O_RMSEP,Na2O_shots_stdev,K2O,K2O_RMSEP,K2O_shots_stdev,Sum_of_Oxides,Spectrum_Total
546545072,CL5_546545072CCS_F0622026CCAM01679P1.SAV,Maple_Spring_ccam,53.369259,5.0628233,1.6669,1.2366953,0.54779965,0.060723093,8.4430052,3.4420397,0.44,18.927621,4.0493855,1.56,13.976144,3.1662869,1.55,5.0851719,1.7193973,0.4,2.5751072,0.61034131,0.4,0.906726,0.82902688,0.4,104.51973,4.44E+14
546545136,CL5_546545136CCS_F0622026CCAM01679P1.SAV,Maple_Spring_ccam,54.080483,5.0881548,1.2692,1.3325408,0.57021487,0.820414192,8.5555996,3.4503503,0.75,18.33616,3.9478176,1.955,13.859854,3.1529975,1.53,4.8711385,1.6565926,0.3,2.792485,0.61393952,0.3,1.0346244,0.88054466,0.3,104.86289,4.70E+14
546545200,CL5_546545200CCS_F0622026CCAM01679P1.SAV,Maple_Spring_ccam,54.224544,5.0932178,1.6692,1.2945731,0.56008172,0.258682907,8.4664542,3.4441175,0.56,18.334251,3.9460692,0.59,14.232149,3.193563,1.535,4.5787299,1.5752101,0.3,2.7269078,0.61235356,0.3,1.070593,0.89755255,0.3,104.9282,4.83E+14
398826553,CL5_398826553CCS_F0030004CCAM05015P3.SAV,Mara,53.758513,5.076726,1.2715,1.3934573,0.58597136,0.485776271,8.0649078,3.4131193,0.99,18.333992,3.9460692,0.75,14.180533,3.1882677,1.715,4.870644,1.6565926,0.4,2.6043938,0.61042494,0.4,1.0316214,0.88054466,0.4,104.23806,4.94E+14
399178818,CL5_399178818CCS_F0030078CCAM01019P3.SAV,Mara_1,53.811664,5.0785089,1.6715,1.3789996,0.58328253,0.496465947,7.9222344,3.401088,0.97,18.634027,3.9981143,0.7,14.43281,3.2147448,1.545,4.5876778,1.5779744,0.2,2.7382005,0.61259007,0.2,1.0451232,0.88908339,0.2,104.55074,4.77E+14
399178879,CL5_399178879CCS_F0030078CCAM01019P3.SAV,Mara_1,53.648298,5.0728049,1.2738,1.419986,0.5940665,0.856474568,7.9732929,3.4055164,0.64,18.372387,3.9530616,1.51,14.390885,3.2105086,1.83,4.7668805,1.6281972,0.2,2.7070244,0.6118806,0.2,1.025924,0.88054466,0.2,104.30468,4.79E+14
399178941,CL5_399178941CCS_F0030078CCAM01019P3.SAV,Mara_1,53.807038,5.0785089,1.6738,1.4438928,0.59955651,0.008173496,7.9688522,3.4055164,1,18.590417,3.9912159,0.705,14.354196,3.2062721,1.88,4.6386906,1.5917969,0.5,2.6087146,0.61051482,0.5,1.0001112,0.86773658,0.5,104.41191,4.38E+14
399179003,CL5_399179003CCS_F0030078CCAM01019P3.SAV,Mara_1,54.015876,5.0859947,1.2761,1.4111821,0.59135258,0.425511729,8.1650546,3.4217958,0.62,18.319716,3.9443212,1.645,14.172551,3.1872084,1.835,4.6056674,1.5835035,0.1,2.7501845,0.61282653,0.1,1.0839788,0.90173441,0.1,104.52421,4.86E+14
399179065,CL5_399179065CCS_F0030078CCAM01019P3.SAV,Mara_1,54.156316,5.0910478,1.6761,1.4648982,0.60508919,0.208394935,8.1509249,3.4202185,0.37,18.518754,3.9791436,0.86,13.894841,3.1563199,0.6,4.5533602,1.5669167,0.3,2.7288743,0.61235356,0.3,1.1460793,0.93092293,0.3,104.61405,5.11E+14
550981455,CL5_550981455CCS_F0640420CCAM01729P1.SAV,Mark_Island,54.076903,5.0881548,1.2784,1.5465273,0.63047951,0.476902104,8.774944,3.4636676,0.53,18.481673,3.9722447,1.82,13.452127,3.1058166,1.935,4.8328953,1.6452346,4.6,2.8076192,0.61454815,4.6,1.1772084,0.94306362,4.6,105.1499,4.19E+14
550981531,CL5_550981531CCS_F0640420CCAM01729P1.SAV,Mark_Island,54.369052,5.0986423,1.6784,1.4443526,0.59955651,0.224547955,9.1523973,3.4846306,0.88,18.009071,3.8900418,0.595,13.593976,3.122175,0.97,4.5990016,1.580739,0.4,2.9289886,0.61911339,0.4,1.1814176,0.94306362,0.4,105.27826,4.40E+14
550981596,CL5_550981596CCS_F0640420CCAM01729P1.SAV,Mark_Island,54.24803,5.0943027,1.2807,1.4872192,0.61347896,0.455703991,8.71355,3.4600744,0.48,18.311679,3.9425731,0.785,13.502614,3.111659,0.81,4.9696015,1.6849881,0.2,2.8268047,0.61519921,0.2,1.1426546,0.92682552,0.2,105.20215,4.85E+14
550981833,CL5_550981833CCS_F0640420CCAM01729P1.SAV,Mark_Island,54.461727,5.1018972,1.6807,1.591402,0.64187682,0.659490029,8.7924235,3.4648654,0.99,18.176312,3.9198475,1.99,13.75528,3.141923,0.85,4.6971831,1.6083837,0.3,2.8839672,0.61702341,0.3,1.1582213,0.93496984,0.3,105.51652,4.77E+14
550981909,CL5_550981909CCS_F0640420CCAM01729P1.SAV,Mark_Island,54.919316,5.1185122,1.283,1.3766394,0.58328253,0.614459622,9.1528258,3.4846306,0.06,17.79001,3.8513939,1.715,13.410486,3.1011429,1.69,4.5199117,1.5586233,0.2,3.0077143,0.62284648,0.2,1.2937202,0.98641729,0.2,105.47062,4.70E+14
550981974,CL5_550981974CCS_F0640420CCAM01729P1.SAV,Mark_Island,54.779463,5.1134701,1.683,1.5511516,0.63047951,0.333685779,8.5763114,3.4517355,0.48,18.171182,3.9180996,1.605,13.864821,3.1529975,0.715,4.6285267,1.5890324,0.2,2.7973964,0.61424381,0.2,1.185861,0.94711053,0.2,105.55471,4.67E+14
550982211,CL5_550982211CCS_F0640420CCAM01729P1.SAV,Mark_Island,27.172014,7.0576921,1.2853,8.8680476,4.0729303,0.709294098,3.1266335,2.7993221,0.36,16.041444,3.5535085,0.745,4.0368748,1.7495507,1.93,3.5929483,1.3177352,2.3,0.82512779,0.50934541,2.3,0.14529684,0.54270434,2.3,63.808388,2.95E+15
550982287,CL5_550982287CCS_F0640420CCAM01729P1.SAV,Mark_Island,33.798461,6.3854637,1.6853,6.9316477,3.143137,0.464759822,3.9864793,2.9078918,0.78,8.4080713,2.4330845,0.98,3.3839853,1.6839939,0.535,4.3055054,1.5013993,0.2,0.74261145,0.47963154,0.2,0.1414682,0.53995442,0.2,61.69823,2.69E+15
550982352,CL5_550982352CCS_F0640420CCAM01729P1.SAV,Mark_Island,29.370739,6.9125657,1.2876,10.615628,4.9116621,0.684931113,2.7530093,2.7554708,0.6,13.062888,3.1097698,1.94,3.7374675,1.7192308,0.535,2.778917,1.1394173,0.6,0.94407608,0.54367214,0.6,0.1512418,0.54270434,0.6,63.413967,2.37E+15
550982418,CL5_550982418CCS_F0640420CCAM01729P1.SAV,Mark_Island,31.155596,6.7327132,1.6876,11.027262,5.1081653,0.652267593,2.9815746,2.7817867,0.89,17.010137,3.7155931,1.79,3.4510372,1.6907566,0.905,2.2109629,1.034744,0.1,0.96373869,0.54957461,0.1,0.15015703,0.54270434,0.1,68.950466,2.79E+15
550179602,CL5_550179602CCS_F0632672CCAM01720P1.SAV,Marlboro_Beach,30.331741,6.8226185,1.2899,9.4596362,4.3557034,0.026242914,5.2604665,3.0826328,0.2,14.322567,3.2909553,1.965,3.3344599,1.6791635,1.965,1.9490714,0.99325502,2.6,1.0943171,0.58467215,2.6,0.14201079,0.53995442,2.6,65.894269,2.80E+15
