sclk,File_name,Target_plan,SiO2,SiO2_RMSEP,SiO2_shots_stdev,TiO2,TiO2_RMSEP,TiO2_shots_stdev,Al2O3,Al2O3_RMSEP,Al2O3_shots_stdev,FeOT,FeOT_RMSEP,FeOT_shots_stdev,MgO,MgO_RMSEP,MgO_shots_stdev,CaO,CaO_RMSEP,CaO_shots_stdev,Na2O,Na2O_RMSEP,Na2O_shots_stdev,K2O,K2O_RMSEP,K2O_shots_stdev,Sum_of_Oxides,Spectrum_Total
557030014,CL5_557030014CCS_F0652186CCAM06797P1.SAV,Abagadasset,30.2,6.8,0.9,0.69,0.42,0.02,5.4,3.1,0.2,13.8,3.2,0.6,2.7,1.6,0.1,20.4,4,1.1,0.82,0.5,0.03,0.31,0.6,0.02,74.21,6.03E+14
557030084,CL5_557030084CCS_F0652186CCAM06797P1.SAV,Abagadasset,30.9,6.7,2.4,0.67,0.41,0.03,5.9,3.2,0.5,13.1,3.1,1.1,2.6,1.6,0.2,20.7,4.1,2.1,0.9,0.52,0.1,0.33,0.61,0.05,75.13,5.67E+14
557030148,CL5_557030148CCS_F0652186CCAM06797P1.SAV,Abagadasset,29.4,6.9,0.6,0.66,0.41,0.01,5.7,3.1,0.1,13,3.1,0.5,2.4,1.6,0.1,21.2,4.1,0.7,0.89,0.52,0.03,0.36,0.62,0.01,73.51,5.67E+14
557030252,CL5_557030252CCS_F0652186CCAM06797P1.SAV,Abagadasset,30.7,6.8,1.3,0.68,0.42,0.01,5.6,3.1,0.2,13.7,3.2,0.6,2.9,1.7,0.1,18.8,3.8,0.9,0.98,0.54,0.05,0.38,0.62,0.02,73.84,4.90E+14
557030460,CL5_557030460CCS_F0652186CCAM06797P1.SAV,Abagadasset,30.1,6.8,2,0.69,0.42,0.04,5.9,3.2,0.3,13.4,3.1,1.1,2.8,1.6,0.2,21.9,4.3,2,0.9,0.52,0.1,0.33,0.61,0.05,76.02,5.58E+14
557030524,CL5_557030524CCS_F0652186CCAM06797P1.SAV,Abagadasset,29.7,6.9,1.2,0.67,0.41,0.02,5.6,3.1,0.3,13.6,3.2,1,3.1,1.7,0.3,21.4,4.2,1.5,0.86,0.51,0.06,0.29,0.59,0.03,75.15,5.87E+14
557030628,CL5_557030628CCS_F0652186CCAM06797P1.SAV,Abagadasset,27.6,7,4.3,0.61,0.39,0.02,7,3.3,0.4,20.9,4,7,2.1,1.6,0.2,7.8,2.4,2.3,10.68,1.25,1.17,0.16,0.56,0.03,76.86,3.50E+14
557030836,CL5_557030836CCS_F0652186CCAM06797P1.SAV,Abagadasset,31.4,6.7,3.3,0.66,0.41,0.06,6.6,3.3,0.5,13.2,3.1,1.6,2.6,1.6,0.2,20.5,4,3.2,1.04,0.56,0.15,0.4,0.63,0.08,76.31,4.98E+14
557030899,CL5_557030899CCS_F0652186CCAM06797P1.SAV,Abagadasset,50.5,5,0.2,0.94,0.48,0.03,11.6,3.6,0.7,21.3,4,0.2,5.8,2,0.2,2,1,0.2,2.32,0.62,0.18,0.88,0.82,0.08,95.26,5.15E+14
569534196,CL5_569534196CCS_F0672420CCAM01938P1.SAV,Aberfoyle_2,49.7,5,0.5,1,0.49,0.08,10.4,3.5,0.7,19.9,3.9,0.4,4.3,1.8,0.2,1.8,1,0.1,2.76,0.62,0.23,0.84,0.8,0.05,90.53,3.00E+14
569534265,CL5_569534265CCS_F0672420CCAM01938P1.SAV,Aberfoyle_2,56.6,5.2,0.8,1.11,0.52,0.07,12.1,3.6,0.6,17.9,3.7,0.8,5.5,1.9,0.2,1.9,1,0.1,3.43,0.65,0.13,1.5,1.05,0.1,100.06,2.94E+14
569534328,CL5_569534328CCS_F0672420CCAM01938P1.SAV,Aberfoyle_2,55.5,5.1,0.7,0.97,0.49,0.14,10.6,3.5,0.7,16.3,3.5,0.4,5,1.9,0.2,2.2,1.1,0.1,3.52,0.66,0.19,1.52,1.05,0.11,95.56,3.03E+14
569534524,CL5_569534524CCS_F0672420CCAM01938P1.SAV,Aberfoyle_2,34.7,6.3,1.1,0.68,0.42,0.04,8.1,3.4,0.2,33.9,4.6,1.1,2,1.6,0.2,1,0.9,0.1,2.4,0.62,0.11,0.71,0.75,0.07,83.47,5.24E+14
569534587,CL5_569534587CCS_F0672420CCAM01938P1.SAV,Aberfoyle_2,57.3,5.2,1,1.25,0.55,0.17,12.5,3.6,0.4,13.4,3.1,1.9,6.8,2.1,0.3,2,1,0.1,3.32,0.64,0.16,1.24,0.96,0.09,97.86,2.94E+14
569534821,CL5_569534821CCS_F0672420CCAM01938P1.SAV,Aberfoyle_2,45.1,5,1.1,0.73,0.43,0.04,10.3,3.5,0.4,20.3,3.9,0.4,4.4,1.8,0.5,5.9,2,0.5,2.35,0.62,0.09,0.77,0.77,0.05,89.82,2.74E+14
569534890,CL5_569534890CCS_F0672420CCAM01938P1.SAV,Aberfoyle_2,54,5.1,0.7,1.05,0.5,0.06,10.4,3.5,0.4,19.4,3.9,0.7,6.1,2,0.2,1.4,1,0.1,3.05,0.63,0.13,1.33,0.99,0.07,96.79,3.94E+14
569534953,CL5_569534953CCS_F0672420CCAM01938P1.SAV,Aberfoyle_2,55.7,5.1,0.3,1.23,0.55,0.09,12.2,3.6,0.5,18.1,3.7,0.5,5,1.9,0.2,2.3,1.1,0.3,3.34,0.64,0.18,1.57,1.07,0.1,99.42,4.12E+14
569535016,CL5_569535016CCS_F0672420CCAM01938P1.SAV,Aberfoyle_2,54.2,5.1,0.7,1.22,0.54,0.07,12,3.6,0.3,19.3,3.9,0.4,5.1,1.9,0.2,2.3,1.1,0.2,2.95,0.62,0.13,1.31,0.99,0.06,98.44,5.11E+14
569535080,CL5_569535080CCS_F0672420CCAM01938P1.SAV,Aberfoyle_2,54.9,5.1,0.8,1.17,0.53,0.07,12.6,3.6,0.5,18.1,3.7,0.5,5.1,1.9,0.4,2.7,1.2,0.3,2.91,0.62,0.14,1.29,0.98,0.11,98.8,5.05E+14
569010498,CL5_569010498CCS_F0672420CCAM02931P1.SAV,Aberfoyle_ccam,49.7,5,0.5,1,0.49,0.08,10.4,3.5,0.7,19.9,3.9,0.4,4.3,1.8,0.2,1.8,1,0.1,2.76,0.62,0.23,0.84,0.8,0.05,90.53,3.00E+14
569010567,CL5_569010567CCS_F0672420CCAM02931P1.SAV,Aberfoyle_ccam,56.6,5.2,0.8,1.11,0.52,0.07,12.1,3.6,0.6,17.9,3.7,0.8,5.5,1.9,0.2,1.9,1,0.1,3.43,0.65,0.13,1.5,1.05,0.1,100.06,2.94E+14
569010630,CL5_569010630CCS_F0672420CCAM02931P1.SAV,Aberfoyle_ccam,55.5,5.1,0.7,0.97,0.49,0.14,10.6,3.5,0.7,16.3,3.5,0.4,5,1.9,0.2,2.2,1.1,0.1,3.52,0.66,0.19,1.52,1.05,0.11,95.56,3.03E+14
569010694,CL5_569010694CCS_F0672420CCAM02931P1.SAV,Aberfoyle_ccam,34.7,6.3,1.1,0.68,0.42,0.04,8.1,3.4,0.2,33.9,4.6,1.1,2,1.6,0.2,1,0.9,0.1,2.4,0.62,0.11,0.71,0.75,0.07,83.47,5.24E+14
569010758,CL5_569010758CCS_F0672420CCAM02931P1.SAV,Aberfoyle_ccam,57.3,5.2,1,1.25,0.55,0.17,12.5,3.6,0.4,13.4,3.1,1.9,6.8,2.1,0.3,2,1,0.1,3.32,0.64,0.16,1.24,0.96,0.09,97.86,2.94E+14
406721756,CL5_406721756CCS_F0050388CCAM01104P3.SAV,Acasta,45.1,5,1.1,0.73,0.43,0.04,10.3,3.5,0.4,20.3,3.9,0.4,4.4,1.8,0.5,5.9,2,0.5,2.35,0.62,0.09,0.77,0.77,0.05,89.82,2.74E+14
406721832,CL5_406721832CCS_F0050388CCAM01104P3.SAV,Acasta,54,5.1,0.7,1.05,0.5,0.06,10.4,3.5,0.4,19.4,3.9,0.7,6.1,2,0.2,1.4,1,0.1,3.05,0.63,0.13,1.33,0.99,0.07,96.79,3.94E+14
406721907,CL5_406721907CCS_F0050388CCAM01104P3.SAV,Acasta,55.7,5.1,0.3,1.23,0.55,0.09,12.2,3.6,0.5,18.1,3.7,0.5,5,1.9,0.2,2.3,1.1,0.3,3.34,0.64,0.18,1.57,1.07,0.1,99.42,4.12E+14
406722024,CL5_406722024CCS_F0050388CCAM01104P3.SAV,Acasta,54.2,5.1,0.7,1.22,0.54,0.07,12,3.6,0.3,19.3,3.9,0.4,5.1,1.9,0.2,2.3,1.1,0.2,2.95,0.62,0.13,1.31,0.99,0.06,98.44,5.11E+14
406722099,CL5_406722099CCS_F0050388CCAM01104P3.SAV,Acasta,54.9,5.1,0.8,1.17,0.53,0.07,12.6,3.6,0.5,18.1,3.7,0.5,5.1,1.9,0.4,2.7,1.2,0.3,2.91,0.62,0.14,1.29,0.98,0.11,98.8,5.05E+14
406722276,CL5_406722276CCS_F0050388CCAM01104P3.SAV,Acasta,57.1,5.2,0.8,1.05,0.5,0.04,12.5,3.6,0.6,9.7,2.6,1.4,6.5,2.1,0.2,1.6,1,0.2,3.04,0.63,0.14,1.78,1.12,0.14,93.37,2.84E+14
406722393,CL5_406722393CCS_F0050388CCAM01104P3.SAV,Acasta,59,5.2,1,0.97,0.49,0.07,11.3,3.5,0.5,8.1,2.4,1.1,7.3,2.2,0.5,1.7,1,0.2,2.8,0.62,0.12,1.14,0.92,0.08,92.2,2.90E+14
406722468,CL5_406722468CCS_F0050388CCAM01104P3.SAV,Acasta,61.5,5.3,0.6,1,0.49,0.05,13.2,3.6,0.9,6.3,2.2,0.2,5.1,1.9,0.3,2.1,1.1,0.3,3.09,0.63,0.19,1.31,0.99,0.07,93.69,2.41E+14
406722543,CL5_406722543CCS_F0050388CCAM01104P3.SAV,Acasta,60.2,5.3,0.5,1.1,0.52,0.08,12.6,3.6,0.5,6.6,2.2,0.3,7.4,2.2,0.4,1.7,1,0.2,2.88,0.62,0.11,1.22,0.95,0.06,93.67,3.06E+14
429892277,CL5_429892277CCS_F0120560CCAM03365P3.SAV,Acme,56.1,5.2,0.6,1.22,0.54,0.28,11.1,3.5,0.4,9.5,2.6,1.3,7.9,2.3,0.7,1.6,1,0.1,2.56,0.62,0.09,1.08,0.9,0.12,91.17,2.80E+14
429892352,CL5_429892352CCS_F0120560CCAM03365P3.SAV,Acme,57.1,5.2,0.8,1.05,0.5,0.04,12.5,3.6,0.6,9.7,2.6,1.4,6.5,2.1,0.2,1.6,1,0.2,3.04,0.63,0.14,1.78,1.12,0.14,93.37,2.84E+14
429892416,CL5_429892416CCS_F0120560CCAM03365P3.SAV,Acme,59,5.2,1,0.97,0.49,0.07,11.3,3.5,0.5,8.1,2.4,1.1,7.3,2.2,0.5,1.7,1,0.2,2.8,0.62,0.12,1.14,0.92,0.08,92.2,2.90E+14
429892532,CL5_429892532CCS_F0120560CCAM03365P3.SAV,Acme,61.5,5.3,0.6,1,0.49,0.05,13.2,3.6,0.9,6.3,2.2,0.2,5.1,1.9,0.3,2.1,1.1,0.3,3.09,0.63,0.19,1.31,0.99,0.07,93.69,2.41E+14
429892698,CL5_429892698CCS_F0120560CCAM03365P3.SAV,Acme,60.2,5.3,0.5,1.1,0.52,0.08,12.6,3.6,0.5,6.6,2.2,0.3,7.4,2.2,0.4,1.7,1,0.2,2.88,0.62,0.11,1.22,0.95,0.06,93.67,3.06E+14
429892762,CL5_429892762CCS_F0120560CCAM03365P3.SAV,Acme,56.1,5.2,0.6,1.22,0.54,0.28,11.1,3.5,0.4,9.5,2.6,1.3,7.9,2.3,0.7,1.6,1,0.1,2.56,0.62,0.09,1.08,0.9,0.12,91.17,2.80E+14
429892883,CL5_429892883CCS_F0120560CCAM03365P3.SAV,Acme,49.000708,4.9500079,0.6,1.095592,0.51579648,0.6542,10.666753,3.5347397,0.88,19.444626,4.1338506,0.131,7.0662524,2.1257999,0.88,7.0976177,2.2894802,1.1,2.4982538,0.61052096,1.1,0.4860788,0.65564847,1.1,97.355882,3.92E+14
429893049,CL5_429893049CCS_F0120560CCAM03365P3.SAV,Acme,45.383701,4.9992366,0.1,1.0545638,0.5049296,1.1542,10.792474,3.5372148,0.5,18.694244,4.0084624,1.955,7.9779751,2.2647796,0.795,7.5352667,2.4032111,2.1,2.0575531,0.62694716,2.1,0.29992411,0.58865929,2.1,93.795702,5.16E+14
429893113,CL5_429893113CCS_F0120560CCAM03365P3.SAV,Acme,45.955222,4.9773779,0.101,1.0592688,0.50708646,0.6542,11.228351,3.5449486,0.19,18.1121,3.907609,0.61,7.6609409,2.2144935,1,8.1079045,2.5396082,0.7,2.4469402,0.61108881,0.7,0.41970459,0.62989408,0.7,94.990433,3.86E+14
414624570,CL5_414624570CCS_F0060000CCAM02193P3.SAV,Adams_Sound,46.483027,4.9643621,0.102,0.88905898,0.4699696,1.1542,9.8306381,3.5127916,0.42,18.05815,3.8988254,1.645,8.5345416,2.3534679,1.68,7.63103,2.4252384,0.9,2.2948263,0.61527228,0.9,0.42082134,0.62989408,0.9,94.142094,3.52E+14
414624647,CL5_414624647CCS_F0060000CCAM02193P3.SAV,Adams_Sound,47.240469,4.9511423,0.103,1.0561058,0.50708646,0.6542,9.2976812,3.4919312,0.65,17.863839,3.8636911,0.815,7.9493628,2.2600563,1.77,8.0538006,2.5256336,2,2.6108281,0.61051482,2,0.59938366,0.69865453,2,94.67147,3.23E+14
414624717,CL5_414624717CCS_F0060000CCAM02193P3.SAV,Adams_Sound,48.441898,4.945683,0.104,0.76130255,0.4381465,1.1542,9.1397614,3.4841204,0.63,17.05274,3.7224245,1.93,9.8808003,2.5789952,0.625,8.94873,2.7177019,1.5,2.1244421,0.62339836,1.5,0.41683054,0.62989408,1.5,96.766505,2.20E+14
414624929,CL5_414624929CCS_F0060000CCAM02193P3.SAV,Adams_Sound,46.914485,4.9553118,0.105,0.91979562,0.4767212,0.6542,9.4819816,3.4996676,0.75,18.267202,3.9355805,1.73,7.9951956,2.2679286,1.545,8.5702363,2.6405549,2.3,2.0861306,0.625148,2.3,0.4009179,0.62271565,2.3,94.635945,2.34E+14
414625006,CL5_414625006CCS_F0060000CCAM02193P3.SAV,Adams_Sound,46.328389,4.9680667,0.106,1.0409121,0.50277269,1.1542,9.8834311,3.5145373,0.36,17.548379,3.809339,1.81,7.6614077,2.2144935,1.895,8.9866836,2.7255378,3.2,2.414544,0.61177284,3.2,0.44415062,0.63725245,3.2,94.307897,3.76E+14
414625076,CL5_414625076CCS_F0060000CCAM02193P3.SAV,Adams_Sound,48.030144,4.9459705,0.107,0.94360829,0.4811191,1.1542,10.421352,3.5293083,0.1,17.416095,3.786566,0.915,7.8370494,2.2427373,1.76,9.6293603,2.8419333,0.2,2.4789701,0.61065787,0.2,0.47977202,0.65196925,0.2,97.236351,3.06E+14
414625291,CL5_414625291CCS_F0060000CCAM02193P3.SAV,Adams_Sound,46.20882,4.9710302,0.108,1.0244768,0.4984614,0.6542,8.7696892,3.4636676,0.39,17.20888,3.7501318,1.9,8.6478879,2.3732884,0.985,8.6719859,2.6613801,0.1,2.1841153,0.62015122,0.1,0.44410984,0.63725245,0.1,93.159966,3.91E+14
414625368,CL5_414625368CCS_F0060000CCAM02193P3.SAV,Adams_Sound,45.368364,4.9996138,0.109,1.0669113,0.50925916,0.6542,8.5596026,3.4503503,0.53,18.051223,3.8970687,0.545,8.466441,2.3436153,1.605,8.1502684,2.5489247,0.1,2.0609678,0.62694716,0.1,0.41144264,0.62621486,0.1,92.13522,4.79E+14
414625438,CL5_414625438CCS_F0060000CCAM02193P3.SAV,Adams_Sound,43.5197,5.1039906,0.11,1.0509143,0.5049296,0.6542,8.3287394,3.4344163,0.78,19.085321,4.0763621,0.78,9.0712211,2.4430506,0.715,7.2641801,2.3316238,0.1,1.9773449,0.63194621,0.1,0.40458702,0.62271565,0.1,90.702008,5.06E+14
414625512,CL5_414625512CCS_F0060000CCAM02193P3.SAV,Adams_Sound,43.542335,5.1023984,0.111,0.96230198,0.48550186,1.1542,7.9484411,3.4037449,0.58,19.533383,4.1483712,1.77,8.8944078,2.4129295,1.815,7.8198349,2.4717402,0.1,2.1958261,0.61915791,0.1,0.36797195,0.61231482,0.1,91.264502,5.19E+14
427403870,CL5_427403870CCS_F0080234CCAM01337P3.SAV,Adlavik,42.407087,5.197073,0.112,0.87553651,0.46768421,1.1542,7.6077187,3.372649,0.76,19.586686,4.1577539,0.645,10.458961,2.6754453,0.705,7.1207618,2.2947984,0.1,2.0253015,0.62880284,0.1,0.45503009,0.64461088,0.1,90.537082,4.49E+14
427403939,CL5_427403939CCS_F0080234CCAM01337P3.SAV,Adlavik,40.699234,5.3789091,0.113,0.88310819,0.46768421,1.1542,7.3430785,3.3455904,0.18,19.526951,4.1483712,1.565,11.536182,2.8470612,1.925,7.4311309,2.3751316,0.5,1.9231104,0.6356988,0.5,0.30240844,0.58865929,0.5,89.645203,5.84E+14
427404002,CL5_427404002CCS_F0080234CCAM01337P3.SAV,Adlavik,42.443986,5.1942644,0.114,0.84323294,0.4583056,1.1542,6.9612793,3.3038216,0.47,19.313199,4.1126318,0.97,10.764718,2.7243402,1.565,8.4503564,2.6152527,0.1,2.0010818,0.63068128,0.1,0.67960064,0.73124003,0.1,91.457455,5.65E+14
427404066,CL5_427404066CCS_F0080234CCAM01337P3.SAV,Adlavik,39.155198,5.5783858,0.115,0.94237723,0.4811191,0.6542,7.0457687,3.3141856,0.73,22.261087,4.4818964,1.525,9.9740882,2.5940788,1.785,7.7085399,2.444818,0.3,1.943275,0.63445562,0.3,0.43719607,0.63725245,0.3,89.46753,5.79E+14
427404130,CL5_427404130CCS_F0080234CCAM01337P3.SAV,Adlavik,41.131139,5.3277016,0.116,0.89746249,0.47222012,1.1542,6.9819349,3.3061244,0.83,20.17993,4.2473588,0.545,9.9262153,2.5873749,0.75,8.8639964,2.7000716,0.2,1.9739448,0.63257867,0.2,0.33131913,0.59844702,0.2,90.285943,6.14E+14
427404296,CL5_427404296CCS_F0080234CCAM01337P3.SAV,Adlavik,39.480754,5.5338268,0.117,1.0186652,0.4984614,1.1542,7.4047091,3.3520095,0.66,22.648746,4.5107708,0.55,9.6467147,2.5404177,1.56,7.6835211,2.4374757,0.3,1.9360437,0.63445562,0.3,0.34773008,0.60538095,0.3,90.166884,6.34E+14
427404360,CL5_427404360CCS_F0080234CCAM01337P3.SAV,Adlavik,40.249755,5.4333448,0.118,1.0037271,0.49415541,1.1542,6.7571623,3.2805893,0.23,20.850595,4.3375902,0.645,9.5162178,2.5185511,0.54,9.1828901,2.7618167,0.1,1.7996898,0.6424275,0.1,0.26594651,0.57894516,0.1,89.625984,6.40E+14
427404424,CL5_427404424CCS_F0080234CCAM01337P3.SAV,Adlavik,43.296266,5.1215029,0.119,1.0311965,0.50061578,0.6542,8.2220562,3.4257398,0.77,20.925639,4.3475494,1.575,9.0627302,2.4413772,0.655,8.002436,2.5139883,0.1,2.3728918,0.61270636,0.1,0.39139843,0.61924875,0.1,93.304614,5.89E+14
427404488,CL5_427404488CCS_F0080234CCAM01337P3.SAV,Adlavik,40.155287,5.4450455,0.12,0.9559113,0.48550186,1.1542,6.9066703,3.2980635,0.71,20.143919,4.2414293,1.89,10.729486,2.7194648,1.76,7.7502787,2.454608,0.1,1.775586,0.64338005,0.1,0.35797971,0.60884786,0.1,88.775119,6.54E+14
427404552,CL5_427404552CCS_F0080234CCAM01337P3.SAV,Adlavik,40.775084,5.3693824,0.121,0.93594708,0.4811191,0.6542,7.0505769,3.3141856,0.08,20.307428,4.2656236,1.64,9.3910289,2.4966846,1.545,9.2371911,2.7728374,0.1,1.8588662,0.63925844,0.1,0.3971433,0.62271565,0.1,89.953265,5.21E+14
544853085,CL5_544853085CCS_F0620444CCAM15904P1.SAV,aegis_post_1660a,41.290451,5.3105516,0.122,0.93048354,0.47892067,0.6542,6.88622,3.2957604,0.58,19.981069,4.2177119,0.87,8.9652037,2.4263153,1.875,9.8054701,2.871948,0.1,1.8556591,0.63925844,0.1,0.33695836,0.60191399,0.1,90.051515,6.22E+14
544853154,CL5_544853154CCS_F0620444CCAM15904P1.SAV,aegis_post_1660a,41.240758,5.3158956,0.123,0.95460507,0.48331749,0.6542,7.1702814,3.3274031,0.9,21.198139,4.3793902,1.755,9.0841435,2.4447243,1.79,8.7672565,2.6822052,0.5,1.9110042,0.63632041,0.5,0.35566803,0.60884786,0.5,90.681856,5.16E+14
544853217,CL5_544853217CCS_F0620444CCAM15904P1.SAV,aegis_post_1660a,40.391731,5.4158268,0.124,1.0504852,0.5049296,0.6542,7.27782,3.3391714,0.72,21.79339,4.4406672,0.86,9.0731395,2.4430506,0.985,9.2906825,2.7820213,0.1,1.9944234,0.63131374,0.1,0.27996354,0.58218318,0.1,91.151636,6.49E+14
544853331,CL5_544853331CCS_F0620444CCAM15904P1.SAV,aegis_post_1660a,39.972856,5.4697466,0.125,1.0114192,0.49630839,0.6542,6.9315384,3.3003669,0.34,21.179928,4.3770318,1.94,9.0611723,2.4413772,0.715,9.3934256,2.8003891,0.3,1.8698042,0.63867813,0.3,0.27959233,0.58218318,0.3,89.699736,6.60E+14
544853394,CL5_544853394CCS_F0620444CCAM15904P1.SAV,aegis_post_1660a,39.704242,5.504847,0.126,0.99071437,0.49200109,0.6542,6.6012812,3.2610121,0.69,22.046304,4.464251,0.955,9.1340658,2.4530921,1.93,9.7322596,2.8591099,0.2,1.8924094,0.63751739,0.2,0.27085117,0.57894516,0.2,90.372128,6.69E+14
544853458,CL5_544853458CCS_F0620444CCAM15904P1.SAV,aegis_post_1660a,40.208759,5.4385452,0.127,1.0446612,0.50277269,1.1542,6.869198,3.2934573,0.34,21.940676,4.4549689,0.52,8.3073868,2.3177264,0.58,10.305706,2.9492204,0.3,1.8948253,0.63751739,0.3,0.3630188,0.60884786,0.3,90.934231,6.22E+14
544853568,CL5_544853568CCS_F0620444CCAM15904P1.SAV,aegis_post_1660a,40.259499,5.432045,0.128,0.99140433,0.49200109,0.6542,6.6242437,3.2634592,0.25,21.907278,4.4521089,1.675,9.1477539,2.456439,1.955,9.4519447,2.8110151,0.2,1.8434272,0.64039344,0.2,0.27464685,0.57894516,0.2,90.500198,6.97E+14
544853631,CL5_544853631CCS_F0620444CCAM15904P1.SAV,aegis_post_1660a,46.332959,4.9680667,0.129,1.0776304,0.51143521,1.1542,9.7710962,3.5106468,0.48,19.007566,4.0628738,1.79,7.3125165,2.1611862,0.86,6.85179,2.2225106,0.2,2.4121384,0.61177284,0.2,0.50209024,0.65951371,0.2,93.267786,6.85E+14
544853694,CL5_544853694CCS_F0620444CCAM15904P1.SAV,aegis_post_1660a,46.786425,4.9568276,0.13,1.085172,0.51361126,0.6542,10.438409,3.529799,0.41,19.057119,4.0713043,1.985,7.3315352,2.1642323,1.63,7.4338112,2.3751316,0.3,2.3806513,0.61247295,0.3,0.5231773,0.66725087,0.3,95.0363,8.74E+14
544854374,CL5_544854374CCS_F0620444CCAM15904P1.SAV,aegis_post_1660a,46.953274,4.9548063,0.131,1.1298724,0.52242196,1.1542,11.045025,3.5419073,0.03,19.896861,4.205853,0.545,5.6124097,1.9278002,1.715,7.362488,2.3572168,0.2,3.0095635,0.62284648,0.2,0.86457522,0.80749989,0.2,95.874068,8.44E+14
544854443,CL5_544854443CCS_F0620444CCAM15904P1.SAV,aegis_post_1660a,48.178947,4.9457016,0.132,1.1802829,0.53372562,1.1542,11.562725,3.5502617,1,19.307306,4.1126318,0.755,4.8186263,1.8339899,1.865,5.9753097,1.9775416,0.1,3.4127829,0.64595336,0.1,0.9204408,0.83333683,0.1,95.35642,8.91E+14
544854506,CL5_544854506CCS_F0620444CCAM15904P1.SAV,aegis_post_1660a,48.039491,4.9459529,0.133,1.1887385,0.53603053,1.1542,11.596348,3.5508902,0.81,19.466892,4.1387472,0.995,4.9864788,1.853608,0.7,5.7389955,1.9079391,0.2,3.4895124,0.6511367,0.2,0.892377,0.82041204,0.2,95.398833,9.13E+14
544854620,CL5_544854620CCS_F0620444CCAM15904P1.SAV,aegis_post_1660a,47.223471,4.951395,0.134,1.1819569,0.53372562,1.1542,11.001754,3.5410094,0.28,19.791594,4.1890292,1.57,5.3650708,1.8984915,1.835,6.0833108,2.0062585,0.2,3.2909573,0.63849282,0.2,0.77986924,0.77325636,0.2,94.717985,9.25E+14
544854683,CL5_544854683CCS_F0620444CCAM15904P1.SAV,aegis_post_1660a,47.580624,4.946847,0.135,1.1480367,0.52691042,0.6542,11.677847,3.5521476,0.48,19.909967,4.2073355,1.925,5.1290288,1.8698975,1.565,5.9596609,1.971786,0.3,3.5948918,0.65797591,0.3,0.93657787,0.84195668,0.3,95.936634,8.17E+14
544854747,CL5_544854747CCS_F0620444CCAM15904P1.SAV,aegis_post_1660a,46.96768,4.9545536,0.136,1.202983,0.53833544,0.6542,11.26608,3.5456045,0.97,19.774319,4.1859016,1.695,5.4034788,1.9021552,0.535,5.7820114,1.9195476,0.2,3.3459176,0.64218324,0.2,0.80047484,0.78176224,0.2,94.542945,9.32E+14
544854857,CL5_544854857CCS_F0620444CCAM15904P1.SAV,aegis_post_1660a,47.113943,4.952785,0.137,1.1543511,0.52691042,0.6542,10.919315,3.5395727,0.74,19.941538,4.2117825,0.95,5.4664812,1.9107034,0.885,5.8225446,1.9311562,0.1,3.3392842,0.64155942,0.1,0.83397397,0.79458773,0.1,94.591431,9.71E+14
544854921,CL5_544854921CCS_F0620444CCAM15904P1.SAV,aegis_post_1660a,47.326618,4.9500055,0.138,1.1560132,0.5291599,1.1542,11.468841,3.5488474,0.97,19.923383,4.208818,0.545,5.3383308,1.894828,1.79,5.6480243,1.8818198,1.1,3.4739629,0.64982009,1.1,0.90388957,0.82471693,1.1,95.239063,9.19E+14
544854984,CL5_544854984CCS_F0620444CCAM15904P1.SAV,aegis_post_1660a,46.400495,4.9663377,0.139,1.1369914,0.52466094,0.6542,10.405448,3.529063,0.29,20.183642,4.2473588,0.79,5.436457,1.9070399,1.735,6.3702038,2.0890541,2.1,3.2717819,0.63728547,2.1,0.78977493,0.77750933,2.1,93.994794,9.60E+14
545050038,CL5_545050038CCS_F0620660CCAM15903P1.SAV,aegis_post_1662a,45.745063,4.9852924,0.14,1.1686819,0.53142071,0.6542,10.158869,3.5228183,0.73,20.249429,4.2572875,0.655,5.462684,1.9094822,1.865,6.4075936,2.1003308,0.7,3.1166777,0.62860131,0.7,0.74731537,0.76049757,0.7,93.056314,9.44E+14
545050115,CL5_545050115CCS_F0620660CCAM15903P1.SAV,aegis_post_1662a,46.222671,4.9707832,0.141,1.13816,0.52466094,1.1542,10.940124,3.539932,0.3,20.20592,4.2517304,1.615,5.2756142,1.8875008,1.555,6.4065888,2.1003308,0.9,3.3499906,0.64218324,0.9,0.87286397,0.81180394,0.9,94.411933,9.20E+14
545050181,CL5_545050181CCS_F0620660CCAM15903P1.SAV,aegis_post_1662a,46.595479,4.9613986,0.142,1.1725648,0.53142071,1.1542,10.86024,3.5384953,0.16,20.32343,4.2670126,0.96,5.3121106,1.8911644,0.62,6.3452343,2.0834157,2,3.3754352,0.64406019,2,0.82949718,0.79458773,2,94.81399,9.44E+14
545050292,CL5_545050292CCS_F0620660CCAM15903P1.SAV,aegis_post_1662a,46.001711,4.9762168,0.143,1.1606517,0.5291599,1.1542,10.596867,3.5332961,0.62,20.474031,4.2878523,1.77,5.4730205,1.9107034,0.57,6.3317032,2.0777774,1.5,3.2600873,0.63668609,1.5,0.75320801,0.76049757,1.5,94.051279,9.56E+14
